Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Cotton,Pryor,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
PPP (D),2014-10-30,2014-11-01,2014-11-02T01:46:46Z,1092,Likely Voters,IVR/Online,49.0,41.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21258,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_ARKYLA_110114.pdf,Pollster,Dem,,1
Rasmussen,2014-10-27,2014-10-29,2014-10-30T21:57:12Z,976,Likely Voters,IVR/Online,51.0,44.0,2.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21211,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/arkansas/election_2014_arkansas_senate,Nonpartisan,None,,1
U of Arkansas,2014-10-21,2014-10-27,2014-10-30T18:44:56Z,568,Likely Voters,Live Phone,49.0,36.0,,http://elections.huffingtonpost.com/pollster/polls/u-of-arkansas-21196,http://plsc.uark.edu/2014-Arkansas-Poll-summary-report-final.pdf,Nonpartisan,None,,1
Opinion Research Associates (D-Arkansas Democratic Party),2014-10-25,2014-10-26,2014-10-27T21:12:53Z,401,Likely Voters,Live Phone,44.0,45.0,10.0,http://elections.huffingtonpost.com/pollster/polls/opinion-research-associates-d-arkansas-democratic-party-21116,http://big.assets.huffingtonpost.com/DPAORCPollMemo2526.pdf,Sponsor,Dem,,1
NBC/Marist,2014-10-19,2014-10-23,2014-10-26T13:22:15Z,621,Likely Voters,Live Phone,45.0,43.0,7.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-21030,http://maristpoll.marist.edu/wp-content/misc/ARPolls/AR141018/Complete%20October%202014%20Arkansas%20NBC%20News__Marist%20Poll%20Release%20and%20Tables.pdf,Nonpartisan,None,,1
CBS/NYT/YouGov,2014-10-16,2014-10-23,2014-10-26T14:35:13Z,1567,Likely Voters,Internet,47.0,42.0,10.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-21037,https://today.yougov.com/news/2014/09/07/battleground-tracker-2014-arkansas/,Nonpartisan,None,,1
Hendrix College/Talk Business,2014-10-15,2014-10-16,2014-10-21T16:17:26Z,2075,Likely Voters,IVR/Live Phone,49.0,41.0,6.0,http://elections.huffingtonpost.com/pollster/polls/hendrix-college-talk-business-20951,http://talkbusiness.net/2014/10/tbp-hendrix-poll-cotton-up-8-points-on-pryor-in-senate-race/,Nonpartisan,None,,1
Rasmussen,2014-10-13,2014-10-15,2014-10-16T17:33:07Z,940,Likely Voters,IVR/Online,47.0,44.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-20903,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/arkansas/election_2014_arkansas_senate,Nonpartisan,None,,1
FOX,2014-10-04,2014-10-07,2014-10-08T22:21:35Z,707,Likely Voters,Live Phone,46.0,39.0,11.0,http://elections.huffingtonpost.com/pollster/polls/fox-20774,http://www.foxnews.com/politics/interactive/2014/10/08/fox-news-poll-gop-candidate-cotton-up-7-points-over-dem-sen-pryor-in-arkansas/,Nonpartisan,None,,1
Opinion Research Associates (D-Arkansas Democratic Party),2014-10-01,2014-10-05,2014-10-13T22:08:09Z,400,Likely Voters,Live Phone,42.0,45.0,9.0,http://elections.huffingtonpost.com/pollster/polls/opinion-research-associates-d-arkansas-democratic-party-20834,http://big.assets.huffingtonpost.com/ADPOctober2014SurveyMemo.pdf,Sponsor,Dem,,1
CBS/NYT/YouGov,2014-09-20,2014-10-01,2014-10-05T15:31:16Z,1991,Likely Voters,Internet,45.0,41.0,13.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-20694,https://today.yougov.com/news/2014/09/07/battleground-tracker-2014-arkansas/,Nonpartisan,None,,1
Rasmussen,2014-09-24,2014-09-25,2014-09-26T16:19:18Z,750,Likely Voters,IVR/Online,47.0,40.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-20593,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/arkansas/election_2014_arkansas_senate,Nonpartisan,None,,1
Suffolk/USA Today,2014-09-20,2014-09-23,2014-09-24T18:17:31Z,500,Likely Voters,Live Phone,43.0,45.0,7.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-20571,http://www.suffolk.edu/documents/SUPRC/9_24_2014_marginals.pdf,Nonpartisan,None,,1
PPP (D),2014-09-18,2014-09-21,2014-09-23T18:52:26Z,1453,Likely Voters,IVR/Online,43.0,38.0,13.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-20554,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_AR_922.pdf,Pollster,Dem,,1
Hickman (D-DSCC),2014-09-13,2014-09-18,2014-09-22T12:40:53Z,801,Likely Voters,Live Phone,43.0,46.0,11.0,http://elections.huffingtonpost.com/pollster/polls/hickman-d-dscc-20521,http://images.politico.com/global/2014/09/21/9_19_14_d2.html,Sponsor,Dem,,1
Gravis Marketing,2014-09-08,2014-09-11,2014-09-15T16:58:10Z,902,Registered Voters,Automated Phone,47.0,43.0,8.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-20432,http://gravismarketing.com/polling-and-market-research/telephone-survey-arkansas-political-poll/,Nonpartisan,None,,1
Hickman (D-DSCC),2014-08-26,2014-09-03,2014-09-05T20:01:45Z,700,Likely Voters,Live Phone,43.0,45.0,12.0,http://elections.huffingtonpost.com/pollster/polls/hickman-d-dscc-20283,http://images.politico.com/global/2014/09/05/hickman_arkansas_poll_sept_5.html,Sponsor,Dem,,1
NBC/Marist,2014-09-01,2014-09-02,2014-09-07T13:18:29Z,639,Likely Voters,Live Phone,45.0,40.0,9.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-20287,http://newscms.nbcnews.com/sites/newscms/files/maristarkansassept.pdf,Nonpartisan,None,,1
CNN,2014-08-28,2014-09-02,2014-09-05T14:55:16Z,523,Likely Voters,Live Phone,49.0,47.0,4.0,http://elections.huffingtonpost.com/pollster/polls/cnn-20278,http://i2.cdn.turner.com/cnn/2014/images/09/05/cnn.orc.ar.poll.pdf,Nonpartisan,None,,1
CBS/NYT/YouGov,2014-08-18,2014-09-02,2014-09-07T14:50:19Z,1572,Likely Voters,Internet,43.0,39.0,16.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-20288,https://today.yougov.com/news/2014/09/07/battleground-tracker-2014-arkansas/,Nonpartisan,None,,1
Rasmussen,2014-08-25,2014-08-26,2014-08-27T16:26:19Z,750,Likely Voters,IVR/Online,43.0,44.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-20218,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/arkansas/election_2014_arkansas_senate,Nonpartisan,None,,1
Opinion Research Associates (D-Arkansas Democratic Party),2014-08-06,2014-08-14,2014-08-22T14:39:24Z,414,Registered Voters,Live Phone,41.0,46.0,9.0,http://elections.huffingtonpost.com/pollster/polls/opinion-research-associates-d-arkansas-democratic-party-20172,http://thehill.com/blogs/ballot-box/215720-read-the-opinion-research-poll-on-arkansas,Sponsor,Dem,,1
