Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Grimes,McConnell,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
PPP (D),2014-10-30,2014-11-01,2014-11-02T01:44:58Z,1503,Likely Voters,IVR/Online,42.0,50.0,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21257,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_ARKYLA_110114.pdf,Pollster,Dem,,1
NBC/Marist,2014-10-27,2014-10-30,2014-11-02T14:37:22Z,556,Likely Voters,Live Phone,41.0,50.0,3.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-21263,http://newscms.nbcnews.com/sites/newscms/files/kentucky_october_31_2014_annotated_questionnaire_nbc_news-marist_poll.pdf,Nonpartisan,None,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-10-25,2014-10-29,2014-10-30T23:33:59Z,597,Likely Voters,IVR/Online,43.0,48.0,6.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-21215,http://www.surveyusa.com/client/PollReport.aspx?g=0f52a336-e27f-40ea-b10c-f5d20047b8dd,Nonpartisan,None,,1
POS (R-Crossroads GPS),2014-10-25,2014-10-27,2014-10-30T20:56:18Z,600,Likely Voters,Live Phone,43.0,50.0,,http://elections.huffingtonpost.com/pollster/polls/pos-r-crossroads-gps-21208,https://www.crossroadsgps.org/wp-content/uploads/2014/10/KY-Poll-Memo-Oct-30.pdf,Sponsor,Rep,,1
CBS/NYT/YouGov,2014-10-16,2014-10-23,2014-10-26T15:00:07Z,1502,Likely Voters,Internet,39.0,45.0,14.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-21051,https://today.yougov.com/news/2014/09/07/battleground-tracker-2014-kentucky/,Nonpartisan,None,,1
VCR (R-McConnell),2014-10-16,2014-10-21,2014-10-22T20:51:03Z,815,Likely Voters,Live Phone,41.0,49.0,7.0,http://elections.huffingtonpost.com/pollster/polls/vcr-r-mcconnell-20980,http://big.assets.huffingtonpost.com/VCRMcConnell1022.pdf,Sponsor,Rep,,1
Western Kentucky University,2014-10-16,2014-10-19,2014-10-21T11:18:33Z,557,Likely Voters,Live Phone,42.0,45.0,8.0,http://elections.huffingtonpost.com/pollster/polls/western-kentucky-university-20947,http://wkussrc.blogspot.com/2014/10/2014-big-red-poll.html,Nonpartisan,None,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-10-15,2014-10-19,2014-10-20T22:11:55Z,655,Likely Voters,IVR/Online,43.0,44.0,8.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-20946,http://www.surveyusa.com/client/PollReport.aspx?g=6aef3211-f911-40c3-92f7-eaedced7f0ac,Nonpartisan,None,,1
Rasmussen,2014-10-15,2014-10-16,2014-10-17T16:57:36Z,1000,Likely Voters,IVR/Online,44.0,52.0,3.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-20916,http://www.rasmussenreports.com/public_content/politics/elections/election_2014/kentucky/election_2014_kentucky_senate,Nonpartisan,None,,1
Gravis/Human Events (R),2014-10-11,2014-10-12,2014-10-20T01:55:53Z,1020,Likely Voters,Automated Phone,47.0,50.0,4.0,http://elections.huffingtonpost.com/pollster/polls/gravis-human-events-r-20929,http://gravismarketing.com/polling-and-market-research/october-kentucky-polling-of-likely-voters/,Sponsor,Rep,,1
FOX,2014-10-04,2014-10-07,2014-10-08T22:31:27Z,706,Likely Voters,Live Phone,41.0,45.0,9.0,http://elections.huffingtonpost.com/pollster/polls/fox-20776,http://www.foxnews.com/politics/interactive/2014/10/08/fox-news-poll-gop-sen-mcconnell-narrowly-ahead-dem-grimes-in-kentucky/,Nonpartisan,None,,1
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014-09-29,2014-10-02,2014-10-06T15:54:36Z,632,Likely Voters,IVR/Online,46.0,44.0,7.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-courier-journal-herald-leader-whas-wkyt-20731,http://www.surveyusa.com/client/PollReport.aspx?g=cc23c52b-35fc-4241-8330-da814de65753&utm_source=twitterfeed&utm_medium=twitter,Nonpartisan,None,,1
CBS/NYT/YouGov,2014-09-20,2014-10-01,2014-10-05T15:42:23Z,1689,Likely Voters,Internet,41.0,47.0,9.0,http://elections.huffingtonpost.com/pollster/polls/cbs-nyt-yougov-20702,https://today.yougov.com/news/2014/09/07/battleground-tracker-2014-kentucky/,Nonpartisan,None,,1
